사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-12-01,2호선,24,강변(동서울터미널),18,1,"7,942","1,756","23,912","16,491","71,753","21,497","104,547","43,365","73,420","33,993","52,918","33,519","48,343","32,710","46,750","37,726","47,386","41,376","43,949","44,101","45,487","52,365","47,611","56,806","51,914","72,864","58,227","105,319","39,606","72,916","30,122","48,595","25,550","49,206","14,059","32,168","4,287","14,215",2,518,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,25,잠실나루,11,0,"2,650","1,657","9,895","8,732","33,000","21,137","42,961","37,112","26,140","24,547","20,668","16,814","20,603","15,121","20,378","18,100","19,531","18,618","20,903","18,192","22,820","16,855","27,828","17,777","33,352","23,618","28,256","36,753","12,906","26,152","9,486","15,651","7,729","17,863","4,657","12,719","1,539","6,179",0,189,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,26,잠실(송파구청),121,28,"9,929","4,462","43,035","34,479","104,796","69,809","149,194","156,463","107,404","137,573","71,706","96,689","73,990","99,132","81,909","100,620","90,045","107,267","95,283","104,964","107,030","116,548","132,287","128,334","169,976","161,832","201,490","219,142","135,723","139,036","159,331","86,539","152,183","95,864","75,518","61,103","15,510","30,789",12,776,0,1,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,27,잠실새내,15,2,"4,040",828,"14,346","9,322","46,499","16,202","68,281","27,643","41,170","28,609","27,408","22,421","26,209","23,849","27,928","26,904","29,464","30,799","28,132","31,210","32,461","36,526","35,508","40,750","37,854","55,138","39,920","78,105","27,952","51,204","26,352","29,251","30,205","30,969","18,015","21,574","6,859","10,608",11,583,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,28,종합운동장,18,1,"1,334","1,032","4,949","6,019","13,807","10,618","20,815","21,335","14,696","12,085","9,927","8,994","9,262","6,871","9,700","8,379","9,704","9,484","12,861","11,551","11,412","9,934","14,548","11,322","15,819","15,410","16,029","24,568","8,082","15,365","5,860","9,273","6,634","11,168","4,094","8,072",907,"3,844",7,299,0,1,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,29,삼성(무역센터),154,2,"4,226","5,198","6,520","38,399","13,939","116,062","19,178","312,877","20,597","225,063","23,966","101,086","36,230","76,069","43,989","69,802","57,385","77,610","70,833","69,669","90,424","62,650","115,400","60,660","195,771","63,843","283,946","64,828","147,545","32,769","121,089","16,325","108,124","15,888","51,423","9,469","10,343","5,680",12,"2,320",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,30,선릉,75,2,"3,802","6,197","9,494","38,935","17,889","103,557","29,482","276,374","28,641","214,340","33,280","96,446","43,877","62,706","52,593","55,051","61,318","61,626","73,029","52,861","92,515","46,398","119,980","44,731","181,248","50,722","274,972","53,870","130,876","30,924","85,317","18,354","94,506","20,101","60,366","12,990","15,477","7,045",13,135,0,0,0,1,0,0,2022-01-03 10:00
2021-12-01,2호선,31,역삼,25,2,"3,222","7,009","7,769","37,828","13,959","125,270","24,436","326,831","21,658","284,868","22,483","116,296","31,926","64,098","40,532","54,504","47,390","59,819","57,968","49,504","75,722","46,587","98,715","44,207","189,848","52,162","273,517","59,155","139,406","32,516","81,509","18,885","88,511","19,625","50,696","12,170","13,599","6,702",10,40,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,32,강남,166,3,"6,685","10,642","15,781","47,590","35,465","126,547","60,242","302,135","47,654","306,306","48,664","146,937","67,190","108,466","83,021","104,099","97,876","124,455","110,218","113,172","141,288","106,841","160,867","114,461","240,715","139,013","319,852","180,317","199,355","99,662","168,482","48,088","217,699","46,342","129,769","29,605","42,035","16,547",84,100,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,33,교대(법원.검찰청),15,0,"2,330","6,854","11,348","23,168","22,377","45,437","32,963","151,392","26,222","140,161","25,589","66,150","31,540","53,412","35,014","47,358","42,600","52,999","50,418","48,971","56,334","45,736","62,816","46,976","97,619","57,257","138,869","68,733","61,775","38,922","50,282","21,628","59,169","23,648","32,904","15,901","10,615","8,423",13,92,0,0,0,0,0,0,2022-01-03 10:00
